corpus,langue,signataire_original,rédigé_par,type,date,url,titre,texte_,nbCar,perplexité_point,completely_generated_prob_point,average_generated_prob_point,perplexité_virgule,completely_generated_prob_virgule,average_generated_prob_virgule
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-07-29,https://www.ledevoir.com/societe/consommation/576222/covid-19-les-depanneurs-au-front,Les dépanneurs au front,"Des bouts de bois, des pellicules de plastique et beaucoup de ruban adhésif : des panneaux de fortun [...]",4494,139.81,2.403705701532957e-28,0,"139,8","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-12-04,https://www.ledevoir.com/societe/582598/violence-conjugale-inquietudes-face-a-un-tueur-qui-ecope-d-au-moins-13-ans-de-penitencier,Inquiétudes face à un tueur qui écope d’au moins 13 ans de pénitencier,Un meurtrier a écopé jeudi d’au moins 13 ans d’incarcération pour avoir poignardé son ex-conjointe à [...],3830,123.46,5.143201369245732e-23,0,"123,5","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2021-03-20,https://www.ledevoir.com/societe/577426/covid-19-service-correctionnel-canada-vise-par-une-demande-d-action-collective,Service Correctionnel Canada visé par une demande d’action collective,Une détenue qui a contracté la COVID-19 derrière les barreaux veut intenter une action collective co [...],4353,167.1,1.444139158634242e-26,0,"167,1","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2021-04-08,https://www.ledevoir.com/societe/587599/poursuite-quebec-jean-charest,Jean Charest poursuit Québec pour violation de sa vie privée,Le ex-premier ministre Jean Charest accuse Québec d’avoir violé sa vie privée à la suite des fuites  [...],3779,110.76,3.9601540485989024e-22,0,"110,8","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2021-04-16,https://www.ledevoir.com/politique/quebec/594895/erreur-sur-la-personne-quebec-declenche-une-enquete-independante-sur-l-affaire-camara,Mamadi Camara s'avoue déçu par les deux enquêtes annoncées,Mamadi III Fara Camara s’avoue déçu par les enquêtes annoncées mardi pour faire la lumière sur son a [...],3805,1451.04,1.6554979404937923e-21,0.038461538461538464,1451,"0,00 %","3,85 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2021-04-22,https://www.ledevoir.com/societe/613263/agression-sexuelle-le-processus-judiciaire-a-ete-reparateur-pour-lea-clermont-dion,Le processus judiciaire a été «réparateur» pour Léa Clermont-Dion,"Bien qu’elle le qualifie d’imparfait et de mésadapté, le processus judiciaire s’est avéré réparateur [...]",4516,102.74,5.126085901427106e-31,0,"102,7","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2021-05-20,https://www.ledevoir.com/societe/586670/justice-un-pas-de-plus-vers-la-protection-des-victimes-de-violence-conjugale,Un pas de plus vers la protection des victimes de violence conjugale,Une mère de famille victime de violence conjugale a obtenu la protection du tribunal dans le cadre d [...],3705,129.64,1.7904154271963003e-19,0,"129,6","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2021-06-16,https://www.ledevoir.com/societe/sante/586996/amendes-salees-les-opposants-au-masque-veulent-les-contester,Les opposants au port du masque veulent contester les constats d’infraction,Au même moment où Québec a annoncé des amendes salées aux contrevenants aux règles de santé publique [...],4082,114.36,1.7904154271963003e-19,0,"114,4","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2021-07-21,https://www.ledevoir.com/societe/574712/budget-reactions-violence-faite-aux-femmes,Les besoins des femmes violentées restent immenses,Le cri du coeur lancé dans les derniers mois pour le financement des ressources pour les victimes de [...],3838,132.75,3.0445942021790443e-21,0,"132,8","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2021-07-28,https://www.ledevoir.com/societe/594612/mort-de-bony-jean-pierre-le-policier-christian-gilbert-acquitte,Un policier acquitté dans l’affaire Bony Jean-Pierre,"L’acquittement du policier Christian Gilbert, qui a causé la mort de Bony Jean-Pierre en mars 2016 l [...]",3879,174.46,5.143201369245732e-23,0,"174,5","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-01-15,https://www.ledevoir.com/societe/570853/mort-d-une-fillette-a-granby-l-autre-enfant-de-la-famille-confie-a-la-dpj,Mort d’une fillette à Granby: l’autre enfant de la famille confié à la DPJ,"L’autre enfant de la famille de la fillette martyre de Granby demeurera en famille d’accueil pour au [...] | Le juge Gervais a également souligné que la DPJ avait manqué à ses obligations en ne prenant pas les mesures nécessaires pour protéger l’enfant et sa soeur. Il a déclaré que la DPJ avait été informée des sévices subis par les enfants, mais n’avait pas agi pour les protéger. «La DPJ a manqué à ses obligations en ne prenant pas les mesures nécessaires pour protéger les enfants», a-t-il déclaré. «C’est une tragédie que ces enfants aient été laissés à la merci de leurs parents alors qu’ils étaient en danger.» Le juge Gervais a également souligné que la DPJ avait manqué à ses obligations en ne prenant pas les mesures nécessaires pour protéger l’enfant et sa soeur. Il a déclaré que la DPJ avait été informée des sévices subis par les enfants, mais n’avait pas agi pour les protéger. «La DPJ a manqué à ses obligations en ne prenant pas les mesures nécessaires pour protéger les enfants», a-t-il déclaré. «C’est une tragédie que ces enfants aient été laissés à la merci de leurs parents alors qu",5480,89.79,3.096654156686029e-29,0,"89,8","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-01-17,https://www.ledevoir.com/societe/570932/meurtre-d-une-mere-de-famille-a-mascouche,Une mère de famille assassinée dans sa maison à Mascouche,"Le meurtre d'une mère de six enfants de Mascouche jeudi serait lié à de la violence conjugale. Le co [...] | Selon les informations recueillies par nos journalistes, Mme Cantin et M. Cardinal étaient ensemble depuis plus de 10 ans et formaient une famille sans histoire. Les voisins décrivent le couple comme étant très aimant et très présent pour leurs enfants. « Ils étaient toujours ensemble et très attentionnés envers leurs enfants », a déclaré un voisin. « Ils étaient très respectueux et très gentils. Je ne comprends pas ce qui a pu se passer ». Les voisins sont sous le choc et ne peuvent croire que leur voisin ait pu commettre un tel acte. « C'est très triste et très choquant », a déclaré un autre voisin. « C'est une tragédie pour toute la communauté. » Les enquêteurs de la SQ sont toujours à la recherche de témoins et de preuves supplémentaires pour élucider cette affaire. Les policiers ont demandé à toute personne ayant des informations sur cette affaire de contacter la SQ.",2608,107.52,3.9601540485989024e-22,0,"107,5","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-01-26,https://www.ledevoir.com/societe/571627/pour-votre-info-quoi-surveiller-aujourd-hui,Quoi surveiller aujourd’hui?,"Appel de la peine d’Alexandre Bissonnette Près de trois ans après l’assassinat de six fidèles réunis [...] | Le procès en appel de Bissonnette s'ouvre aujourd'hui et promet d'être un moment important pour les familles des victimes et pour la communauté musulmane du Québec. La défense de Bissonnette a déclaré qu'elle allait faire appel de la sentence de 40 ans sans possibilité de libération conditionnelle, arguant que cette peine était « déraisonnable » et « disproportionnée ». La Couronne, quant à elle, a déclaré qu'elle soutiendrait la sentence et qu'elle s'opposerait à toute tentative de réduction de la peine. Le procès en appel sera une occasion pour les familles des victimes de faire entendre leurs voix et de témoigner de l'impact que cet acte de violence a eu sur leur vie. Les familles des victimes ont déclaré qu'elles étaient prêtes à témoigner et à faire entendre leurs voix devant la Cour d'appel. Elles espèrent que le procès en appel permettra de faire avancer la cause de la justice et de la paix. Le procès en appel de Bissonnette est un moment important pour le Québec et pour le C",3182,97.73,1.7904154271963003e-19,0,"97,7","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-01-30,https://www.ledevoir.com/societe/571808/importante-operation-policiere-a-blainville-pour-une-dispute-familiale,Un mort à la suite d'une dispute familiale à Blainville,"Tout indique qu’un fils aurait tué son père sous les yeux de sa mère dans leur résidence familiale d [...] | Selon les témoins, la dispute aurait commencé à l'intérieur de la maison et s'est ensuite déplacée à l'extérieur. Les voisins ont déclaré avoir entendu des cris et des hurlements provenant de la maison avant que la police n'arrive. Les policiers ont trouvé le père de famille gravement blessé et ont immédiatement appelé les ambulanciers. Malgré les efforts des secouristes, le père de famille est décédé à l'hôpital. La SQ a déclaré que l'enquête se poursuivra et que des tests toxicologiques seront effectués sur le suspect. Les enquêteurs cherchent à déterminer si des substances illicites ou des médicaments ont été consommés avant l'incident. La SQ a également déclaré qu'elle enquêterait sur les antécédents familiaux et les antécédents judiciaires du suspect. Les voisins ont déclaré que la famille était connue pour ses disputes fréquentes et que la police était souvent appelée pour intervenir. Les voisins ont déclaré que la famille était très discrète et qu'ils ne savaient pas grand-ch",2361,99.89,7.952398987364071e-17,0,"99,9","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-03-19,https://www.ledevoir.com/societe/sante/575312/une-vingtaine-de-detenus-presentent-des-symptomes-du-coronavirus,Une vingtaine de détenus présentent des symptômes du coronavirus,"Près d’une vingtaine de personnes incarcérées ont dû être placées en isolement dans les derniers jou [...] | Le ministère de la Sécurité publique a déclaré qu'il prendrait des mesures pour s'assurer que les détenus qui présentent des symptômes du coronavirus soient isolés et reçoivent les soins appropriés. «Nous sommes conscients des risques que le virus peut représenter pour les détenus et le personnel des prisons et nous prenons des mesures pour s'assurer que tous les détenus qui présentent des symptômes soient isolés et reçoivent les soins appropriés», a déclaré le ministère. Le ministère a également déclaré qu'il travaillait avec les autorités sanitaires pour s'assurer que les mesures de santé et de sécurité nécessaires sont mises en place dans les prisons. «Nous travaillons en étroite collaboration avec les autorités sanitaires pour s'assurer que les mesures de santé et de sécurité nécessaires sont mises en place dans les prisons et que les détenus et le personnel sont protégés», a déclaré le ministère. Le ministère a également déclaré qu'il était en train de mettre en place des mesur",3022,82.6,2.5938518282544733e-13,0,"82,6","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-03-26,https://www.ledevoir.com/societe/575766/pandemie-la-delation-mesure-ultime-de-protection,"La délation, mesure ultime de protection","Bien que Québec ait interdit tout rassemblement extérieur et intérieur pour limiter la propagation d [...] | Cette prise de conscience est partagée par de nombreux citoyens qui, comme Audrey et Roxana, sont confrontés à la difficulté de dénoncer leurs voisins ou leurs proches. « La délation est une mesure ultime, mais elle est nécessaire pour protéger la santé publique », affirme Mme Gendron. « Il est important de rappeler que la délation n’est pas une forme de délation, mais une forme de responsabilité citoyenne », ajoute-t-elle. Cette responsabilité citoyenne est encouragée par le gouvernement du Québec, qui a mis en place un système de signalement des infractions aux consignes sanitaires. Les citoyens peuvent signaler des infractions en remplissant un formulaire en ligne ou en appelant le 1-877-644-4545. Les policiers peuvent alors délivrer des constats d’infraction de 1000 $ à ceux qui ne respectent pas les consignes. Cependant, la délation n’est pas sans risque. « Il y a un risque de stigmatisation et de marginalisation des personnes qui sont dénoncées », souligne Mme Gendron. « Il es",4847,116.44,3.985843844050514e-30,0,"116,4","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-04-14,https://www.ledevoir.com/culture/ecrans/576964/coronavirus-s-evader-sur-des-iles-entre-amis,"«Animal Crossing», ou s’évader sur des îles entre amis","Malgré les directives de la santé publique, Catherine et Mélanie ont trouvé le moyen de contourner l [...] | Cette nouvelle façon de se divertir et de se connecter avec ses amis a également permis à Catherine et Mélanie de découvrir des aspects de leur personnalité qu’elles n’avaient pas encore explorés. « J’ai toujours été une personne très créative, mais je n’avais jamais eu l’occasion de le montrer », explique Catherine. « Avec Animal Crossing, j’ai pu exprimer ma créativité en décorant mon île et en créant des objets. C’est une façon de s’exprimer que je n’avais pas encore découverte. » Mélanie, quant à elle, a trouvé dans le jeu une façon de s’évader de la réalité et de se détendre. « J’ai toujours été une personne très active et j’ai du mal à rester assise plus de quelques minutes. Avec Animal Crossing, je peux me déplacer et explorer mon île sans avoir à quitter mon salon. C’est une façon de me divertir et de me relaxer sans avoir à sortir de chez moi. » Cette nouvelle façon de se divertir et de se connecter avec ses amis a également permis à Catherine et Mélanie de découvrir des as",6723,106.59,5.452403469236369e-48,0,"106,6","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-06-01,https://www.ledevoir.com/societe/579929/messes-et-prieres-en-ligne-apprendre-a-pratiquer-la-religion-virtuellement,Apprendre à pratiquer la religion virtuellement,"YouTube, Instagram et Facebook, c’est par les réseaux sociaux que le père Dominic LeRouzès rejoint d [...] | Le père Dominic est conscient que la pratique de la religion en ligne ne remplacera jamais la pratique en personne. « Je ne veux pas que les gens se sentent coupables s'ils ne peuvent pas se connecter à la messe en ligne. Je veux que les gens sachent qu'ils peuvent toujours prier chez eux, même s'ils ne peuvent pas se connecter à la messe en ligne », explique-t-il. Le père Dominic estime que la pratique de la religion en ligne peut être un outil puissant pour aider les gens à se connecter à leur foi. « Je pense que la technologie peut être un outil puissant pour aider les gens à se connecter à leur foi et à leur communauté. C'est pourquoi je pense que c'est important de continuer à offrir des services religieux en ligne, même après la fin de la pandémie », dit-il. Le père Dominic estime que la pratique de la religion en ligne peut être un outil puissant pour aider les gens à se connecter à leur foi et à leur communauté. « Je pense que la technologie peut être un outil puissant pour ",6433,84.64,9.970058130122827e-42,0,"84,6","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-06-26,https://www.ledevoir.com/societe/581469/police-rendre-l-uniforme-invisible,Rendre l’uniforme invisible,"Tandis que les yeux sont braqués sur les interventions policières partout dans le monde, à Longueuil [...] | « Je veux que les jeunes comprennent que la police est là pour les aider et non pour les punir », explique Thierry Hinse-Fillion. « Je veux qu’ils sachent qu’ils peuvent me parler et me faire confiance. » C’est pourquoi, en plus de patrouiller les skateparks, l’agent s’implique dans des projets de prévention et de sensibilisation. « J’ai eu l’opportunité de participer à des ateliers de prévention avec des jeunes de l’école secondaire, où je leur parle de la consommation de drogue et de l’alcool, et de leurs conséquences », raconte-t-il. « Je leur explique aussi que la police est là pour les aider et non pour les punir. » Thierry Hinse-Fillion est également impliqué dans des projets de sensibilisation à la sécurité routière. « J’ai eu l’occasion de participer à des ateliers de sécurité routière avec des jeunes de l’école primaire, où je leur parle des dangers de la route et des conséquences de la conduite imprudente », explique-t-il. « Je leur explique aussi que la police est là pour",4408,95.9,4.714063783823346e-25,0.03333333333333333,"95,9","0,00 %","3,33 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-09-16,https://www.ledevoir.com/societe/586067/violence-conjugale-violence-conjugale-tuee-par-son-ex-mais-jamais-retrouvee,"Violence conjugale: tuée par son ex, mais jamais retrouvée","« Je suis une femme battue » auraient été les derniers mots prononcés par Josiane Arguin, une Montré [...] | Le procès de M. Brind’Amour a révélé que la victime avait été victime de violence conjugale pendant plusieurs années. Des témoins ont déclaré que M. Brind’Amour était très possessif et jaloux et qu’il avait des comportements agressifs et violents envers Mme Arguin. Des voisins ont déclaré avoir entendu des cris et des pleurs provenant de l’appartement du couple. Des amis et des membres de la famille de Mme Arguin ont déclaré qu’elle avait essayé de quitter M. Brind’Amour à plusieurs reprises, mais qu’il l’en empêchait. Le procureur a également présenté des preuves montrant que M. Brind’Amour avait acheté des produits de nettoyage et des sacs de hockey avant la disparition de Mme Arguin. Des témoins ont déclaré avoir vu M. Brind’Amour transporter un sac de hockey qui semblait contenir un corps. Le procureur a également présenté des preuves montrant que M. Brind’Amour avait acheté des produits de nettoyage et des sacs de hockey avant la disparition de Mme Arguin. Des témoins ont décla",5752,126.38,1.7837438006195425e-35,0,"126,4","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-10-15,https://www.ledevoir.com/societe/587794/viol-et-attentat-a-la-pudeur-la-victime-n-a-pas-dit-non-selon-la-defense,Gilbert Rozon se pose en victime consentante à son procès,"Gilbert Rozon soutient que c’est plutôt lui qui s’est « laissé faire » par la victime présumée à son [...] | M. Rozon a ensuite expliqué qu'il n'avait pas cherché à se défendre contre les accusations de la plaignante, car il ne voulait pas la blesser. « Je ne voulais pas la blesser, alors je me suis laissé faire », a-t-il dit. Il a ajouté qu'il n'avait pas cherché à la convaincre de poursuivre leur relation, car il ne voulait pas la forcer à faire quelque chose qu'elle ne voulait pas. « Je ne voulais pas la forcer à faire quelque chose qu'elle ne voulait pas. Je voulais juste qu'elle se sente à l'aise et en sécurité », a-t-il déclaré. Il a également souligné qu'il n'avait pas cherché à la manipuler ou à la tromper. « Je n'ai jamais cherché à la manipuler ou à la tromper. Je voulais juste qu'elle se sente à l'aise et en sécurité », a-t-il dit. La juge Hébert a alors demandé à M. Rozon s'il avait cherché à profiter de la situation. « Non, je n'ai pas cherché à profiter de la situation », a-t-il répondu. Il a ajouté qu'il n'avait pas cherché à abuser de la plaignante et qu'il n'avait pas cher",6979,78.86,7.624878031549161e-58,0,"78,9","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-11-17,https://www.ledevoir.com/societe/589816/l-action-collective-des-courageuses-contre-gilbert-rozon-rejetee,Comme une «gifle» au visage des victimes,"La force du nombre n’aura pas réussi à ébranler les colonnes de la justice, se désolent Les Courageu [...] | Malgré cette défaite, Les Courageuses n’ont pas l’intention de baisser les bras. « Nous n’allons pas nous arrêter là. Nous allons continuer à nous battre pour que les victimes d’agression sexuelle soient entendues et que leurs droits soient respectés », a affirmé Mme Tulasne. « Nous allons continuer à nous battre pour que les victimes d’agression sexuelle soient reconnues et que leurs droits soient protégés », a-t-elle ajouté. « Nous allons continuer à nous battre pour que les victimes d’agression sexuelle soient soutenues et que leurs voix soient entendues », a-t-elle conclu. Cette décision de la Cour suprême soulève des questions quant à la façon dont les victimes d’agression sexuelle sont traitées par le système judiciaire. « Il est très difficile pour les victimes de prouver leurs accusations et de se faire entendre », a déclaré Me Gagnon. « Il est important que les victimes sachent qu’elles ne sont pas seules et qu’elles peuvent trouver du soutien et de l’aide », a-t-elle ajout",5720,112.64,6.587331925107545e-32,0,"112,6","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-12-04,https://www.ledevoir.com/societe/591013/quebec-la-sq-propose-une-grande-fusion-des-corps-de-police,La SQ propose une grande fusion des corps de police,"La Sûreté du Québec (SQ) propose une vaste refonte de la carte policière de la province qui pourrait [...] | « La SQ propose également de mettre en place un système de partage des informations entre les différents corps de police. « Nous voulons que les informations soient partagées entre les différents corps de police, afin que les policiers puissent travailler de manière plus efficace et plus efficace », explique Mme Beausoleil. « Nous voulons également que les policiers puissent travailler de manière plus collaborative et plus efficace, et que les informations soient partagées entre les différents corps de police. » La SQ propose également de mettre en place un système de formation et de perfectionnement des policiers. « Nous voulons que les policiers soient formés et perfectionnés de manière uniforme, afin qu'ils puissent offrir des services de qualité à la population », ajoute Mme Beausoleil. « Nous voulons également que les policiers puissent travailler de manière plus efficace et plus efficace, et que les informations soient partagées entre les différents corps de police. » La SQ pr",5171,98.56,1.3153475141536188e-28,0.029411764705882353,"98,6","0,00 %","2,94 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-12-16,https://www.ledevoir.com/societe/591749/verdict-du-proces-rozon,Procès pour viol et attentat à la pudeur: Gilbert Rozon acquitté,"Gilbert Rozon s’en sort pour la deuxième fois face à la justice depuis l’éclatement du mouvement #Mo [...] | « Je suis déçue, mais je ne regrette pas d’avoir porté plainte », a-t-elle ajouté. « Je sais que je ne suis pas la seule à avoir vécu cette expérience et je veux que les autres sachent qu’il est possible de se lever et de parler. » Annick Charette a également souligné que le procès avait été une épreuve difficile, mais qu’elle était heureuse d’avoir pu témoigner. « Je suis fière d’avoir pu dire la vérité et de m’être battue pour obtenir justice », a-t-elle déclaré. « Je sais que je ne suis pas la seule à avoir vécu cette expérience et je veux que les autres sachent qu’il est possible de se lever et de parler. » Le verdict a suscité des réactions mitigées. Les membres du regroupement Les Courageuses ont exprimé leur déception, mais ont aussi salué le courage de la plaignante. « Nous sommes déçus du verdict, mais nous sommes fiers d’Annick Charette et de toutes les femmes qui ont osé parler », a déclaré la porte-parole du regroupement, Marie-Ève Larivière. « Nous continuerons à nous b",6662,99.11,1.4562840836465585e-45,0.018867924528301886,"99,1","0,00 %","1,89 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2020-12-17,https://www.ledevoir.com/societe/591885/violences-sexuelles-en-lutte-pour-une-reforme-du-systeme,Annick Charette en lutte pour une réforme du système,"À la suite de l’acquittement de Gilbert Rozon, la plaignante Annick Charette s’avoue encore sous le  [...] | Rozon a eu le temps de préparer sa défense et de trouver des moyens de me discréditer », déplore-t-elle. « Je ne veux pas que les victimes soient dans une position où elles doivent se défendre contre des avocats qui sont payés pour trouver des failles dans leur histoire. » Annick Charette souhaite que le système judiciaire soit réformé pour que les victimes de violences sexuelles ne soient plus mises à l’épreuve et que leurs témoignages soient pris au sérieux. « Je veux que les victimes soient entendues et que leurs histoires soient prises en compte », conclut-elle. « Je veux que les gens comprennent que ce n’est pas facile de parler de ce genre de choses et que ce n’est pas facile de se retrouver devant un tribunal. »",3597,82.73,5.177734336262434e-20,0.07692307692307693,"82,7","0,00 %","7,69 %"
1 (textes originaux en français),français,Améli Pineda,"2 moitié journaliste, moitié GPT-3",un reportage judiciaire,2021-02-03,https://www.ledevoir.com/societe/594544/mamadi-camara-libere-des-accusations-portees-contre-lui,Mamadi Camara libéré des accusations portées contre lui,"L’homme accusé de tentative de meurtre après avoir prétendument désarmé et blessé un policier a été  [...] | Mamadi Camara a été libéré de toutes les accusations et a pu retrouver sa liberté. La famille et l'avocat de M. Camara sont soulagés de cette nouvelle et espèrent que la justice sera faite. «Nous sommes heureux que la justice ait été rendue et que Mamadi ait été libéré», a déclaré le frère de M. Camara, Mamadou Camara. «Nous sommes reconnaissants à tous ceux qui ont travaillé dur pour faire en sorte que la vérité soit révélée et que Mamadi soit libéré.» Le SPVM a déclaré que l'enquête se poursuit et que les enquêteurs continuent de recueillir des preuves et des informations. «Nous sommes conscients que cette affaire a suscité beaucoup d'intérêt et de préoccupation dans la communauté», a déclaré le porte-parole du SPVM, Jean-Pierre Brabant. «Nous continuerons à travailler avec diligence pour nous assurer que tous les faits sont examinés et que la justice est faite.» Le ministère public a déclaré que l'enquête se poursuit et que les enquêteurs continuent de recueillir des preuves et d",3997,84.76,3.9601540485989024e-22,0,"84,8","0,00 %","0,00 %"
